ID,Parents,Name FR
632326bd19b8f900482e75b2, #FrenchCompanies,Beaudrey
63232d6a19b8f900482fe6f4, #Organization,Déplacements
63297f19a3511900467d6715, #Outils,Google Slide
632c6de28db1a1004440af12, #Sales26688 #Pricing,Offre de prix
632c6dee8db1a1004440b03f, #Casmetiers,Cas d'usage
632c6e008db1a1004440b168, #Operations86854 #Customersuccess #Deploiement,Industrialisation
632c6e3e8db1a1004440b4be, #AccountManagement,Suivi commercial
632c6e5f8db1a1004440b824, #Sales26688,Management de compte
632c6e658db1a1004440b977, #Sales26688,Acquisition
632c6e6b8db1a1004440bad6, #Sales26688 #PreSales #TunnelDeVente #AccountMapping,Prospect
632c6e798db1a1004440bc79, #TunnelDeVente,Opportunity
632c6e838db1a1004440bdd8, #TunnelDeVente,Closing
632c6e8d8db1a1004440bf36, #TunnelDeVente,Client
632c6e938db1a1004440c061, #Sales26688 #SQL,Démo
632c6eae8db1a1004440c2eb, #SalesNavigator,LinkedIn
632c6eb78db1a1004440c454, #Brand-andMarketing #PreSales #Sales26688 #Closed,Sales Navigator
632c6ee98db1a1004440c607, #Sales26688 #SQL,Rendez-vous
632c6f378db1a1004440cd9e, #Sales26688,Négociation
6331b89925bd46004a678393, #Outils #Tech,mongoDB
6331d01625bd46004a67f5b5, #Sales26688 #PreSales,Tunnel de vente
6332b945f7d3b7004a9edcc9, #FrenchCompanies,RaiseLab
6335519637d3ad0046359496, #Sales26688 #MarketStudies #SalesStrategy #Brand-andMarketing,Pricing
633551a737d3ad0046359577, #Sales26688 #Administrative,CGV
633570f537d3ad004635eb6a, #Tradeshow,Carrefours Excellences
633adfab1e4eab0044eab653, #TopManagement,Gestion de crise
633adfc71e4eab0044eab78b, #Writing34535,Chroniques
633adfdb1e4eab0044eab83c, #EventManagement,Speaker
633adfe51e4eab0044eab89a, #WingzyRole,Administratrice
633adffe1e4eab0044eab972, #WingzyRole,Auteur
633ae08b1e4eab0044eabe2d, #Hobbies,Peinture
633ae4c21e4eab0044eac402, #RituelsEtProcessus,Points critiques
633ae54f1e4eab0044eaffd5, #Accounting,Trésorerie
633ae7b31e4eab0044eb98e8, #RituelsEtProcessus,OKR
633ae9311e4eab0044eba8e7, #UserResearch #Closed #CommunityPlatform,Utilisateurs
633aebd71e4eab0044ebc957, #ChangeManagement #Deploiement,Scale
633aec631e4eab0044ebce42, #Sales26688 #Rex,ROI
633aecc81e4eab0044ebd2a3, #Operations86854 #Deploiement #Customersuccess #Utilisation #LivrablesOps,Guides
